User,Rating
Marcus,5
Marcus,2.5
Marcus,5
Marcus,3.5
Marcus,3
Marcus,4
Marcus,2
Marcus,5
Marcus,5
Marcus,5
Marcus,2.5
Marcus,2.5
Marcus,5
Marcus,4.5
Marcus,5
Marcus,5
Marcus,3.5
Marcus,2.5
Marcus,4.5
Marcus,5
